duration,end,explosive,continuous,stratovolcano,caldera,dome,shield,submarine,complex,lava_cone,pyroclastic_cone,compound,maar,explosion_crater,fissure_vent,subduction,rift,intraplate,continental,ctcrust1,elevation,volume,eruptionssince1960,avgrepose,mafic,intermediate,felsic,summit_crater,h_bw,ellip,meanslope
0.5833333333333333,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6.95,790.0,8.6,4.0,330.6666667,1.0,1.0,0.0,1,0.116,2.15,21.6
0.16666666666666666,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,32.0,3763.0,20.1,14.0,1044.285714,1.0,1.0,0.0,0,0.128,1.4,19.7
0.001388888888888889,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,45.65,5393.0,98.0,4.0,4510.75,1.0,1.0,0.0,1,0.146,1.22,16.2
0.034722222222222224,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,21.45,1785.0,2.5,23.0,840.9565217,1.0,1.0,0.0,0,0.155,1.31,18.5
0.00625,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,38.16,1252.0,7.8,5.0,4946.4,0.0,1.0,0.0,0,0.162,1.29,14.3
0.0006944444444444445,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,38.16,1252.0,7.8,5.0,4946.4,0.0,1.0,0.0,0,0.162,1.29,14.3
0.001388888888888889,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,38.16,1252.0,7.8,5.0,4946.4,0.0,1.0,0.0,0,0.162,1.29,14.3
0.0020833333333333333,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,38.16,1252.0,7.8,5.0,4946.4,0.0,1.0,0.0,0,0.162,1.29,14.3
0.020833333333333336,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11.22,516.0,5.5,2.0,21836.5,1.0,1.0,0.0,1,0.079,2.67,20.5
0.2708333333333333,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,65.0,5672.0,22.6,5.0,4123.0,0.0,1.0,1.0,1,0.16,1.51,18.2
0.125,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20.95,915.0,7.0,3.0,54307.0,1.0,1.0,0.0,0,0.113,1.38,17.3
0.008333333333333333,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,32.0,2910.0,17.6,11.0,848.6363636,0.0,1.0,0.0,0,0.195,1.27,20.9
0.009027777777777779,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,26.82,1535.0,19.8,13.0,2238.230769,0.0,1.0,0.0,0,0.133,1.59,17.4
0.0076388888888888895,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,26.82,1535.0,19.8,13.0,2238.230769,0.0,1.0,0.0,0,0.133,1.59,17.4
0.14583333333333331,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,32.0,2910.0,17.6,11.0,848.6363636,0.0,1.0,0.0,0,0.195,1.27,20.9
0.006944444444444445,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,31.0,2435.0,138.0,21.0,1429.619048,0.0,1.0,0.0,0,0.1,1.25,12.9
0.0034722222222222225,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,57.25,5592.0,9.8,17.0,867.1764706,0.0,1.0,0.0,0,0.149,1.38,19.1
0.00625,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,26.82,1535.0,19.8,13.0,2238.230769,0.0,1.0,0.0,0,0.133,1.59,17.4
0.006944444444444445,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,26.82,1535.0,19.8,13.0,2238.230769,0.0,1.0,0.0,0,0.133,1.59,17.4
0.004166666666666667,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,33.0,3283.0,116.0,12.0,1205.083333,1.0,1.0,0.0,0,0.125,1.42,18.3
0.20833333333333331,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,32.14,3320.0,273.0,42.0,308.8333333,1.0,1.0,0.0,0,0.1,1.13,11.0
0.35416666666666663,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,32.14,3320.0,273.0,42.0,308.8333333,1.0,1.0,0.0,0,0.1,1.13,11.0
0.024305555555555556,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,26.82,1535.0,19.8,13.0,2238.230769,0.0,1.0,0.0,0,0.133,1.59,17.4
0.5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,31.0,2962.0,15.7,9.0,939.0,0.0,0.0,1.0,0,0.202,1.26,21.2
0.125,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,42.92,3125.0,14.1,15.0,1148.666667,1.0,1.0,0.0,0,0.157,1.3,16.4
0.47916666666666663,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,42.92,3125.0,14.1,15.0,1148.666667,1.0,1.0,0.0,0,0.157,1.3,16.4
0.0625,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,42.92,3125.0,14.1,15.0,1148.666667,1.0,1.0,0.0,0,0.157,1.3,16.4
0.005555555555555556,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,33.0,3283.0,116.0,12.0,1205.083333,1.0,1.0,0.0,0,0.125,1.42,18.3
0.0076388888888888895,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20.95,915.0,7.0,3.0,54307.0,1.0,1.0,0.0,0,0.113,1.38,17.3
0.125,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,35.01,3340.0,180.0,8.0,6840.75,1.0,1.0,0.0,0,0.081,1.42,14.5
0.01388888888888889,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,32.14,3320.0,273.0,42.0,308.8333333,1.0,1.0,0.0,0,0.1,1.13,11.0
