duration,end,vei,repose,stratovolcano,caldera,dome,shield,submarine,complex,lava_cone,pyroclastic_cone,compound,maar,explosion_crater,fissure_vent,subduction,rift,intraplate,continental,ctcrust1,elevation,volume,eruptionssince1960,avgrepose,mafic,intermediate,felsic,summit_crater,h_bw,ellip,meanslope
9.0,1,4,11949,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,13.63,1710.0,193.0,3.0,8188.333333,1.0,0.0,0.0,1,0.072,1.65,9.7
35.0,1,4,15579,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,36.0,1974.0,38.0,3.0,8541.333333,0.0,1.0,0.0,0,0.114,1.31,16.7
1736.0,1,2,90,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,35.01,3340.0,180.0,8.0,6840.75,1.0,1.0,0.0,0,0.081,1.42,14.5
76.0,1,1,182,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,30.77,2130.0,26.0,19.0,1217.315789,1.0,1.0,0.0,1,0.166,1.27,16.4
79.0,1,2,605,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,47.0,5286.0,77.0,8.0,227.75,0.0,1.0,0.0,0,0.183,1.37,23.2
2347.0,0,1,491,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,39.17,2847.0,18.4,22.0,658.3636364,1.0,1.0,1.0,0,0.152,1.23,15.1
78.0,1,3,7121,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6.94,2829.0,392.0,2.0,11525.5,1.0,1.0,1.0,0,0.113,1.18,14.3
2362.0,0,2,494,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,49.12,5279.0,116.0,4.0,8347.75,0.0,1.0,0.0,0,0.092,1.59,18.4
41.0,1,2,512,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,35.01,3340.0,180.0,8.0,6840.75,1.0,1.0,0.0,0,0.081,1.42,14.5
38.0,1,1,700,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,35.59,1916.0,73.0,21.0,1589.857143,0.0,1.0,1.0,0,0.074,1.51,12.3
152.0,1,1,206,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,47.08,2953.0,14.1,13.0,2007.769231,1.0,1.0,1.0,0,0.11,1.47,15.1
716.0,1,0,805,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,34.1,3058.0,31.0,23.0,847.6086957,1.0,1.0,1.0,1,0.071,1.34,8.1
212.0,1,2,4365,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,30.77,2130.0,26.0,19.0,1217.315789,1.0,1.0,0.0,1,0.166,1.27,16.4
5.0,1,1,461,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,39.17,2847.0,18.4,22.0,658.3636364,1.0,1.0,1.0,0,0.152,1.23,15.1
15.0,1,2,489,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,35.01,3340.0,180.0,8.0,6840.75,1.0,1.0,0.0,0,0.081,1.42,14.5
233.0,1,1,2085,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,57.25,5592.0,9.8,17.0,867.1764706,0.0,1.0,0.0,0,0.149,1.38,19.1
120.0,1,2,128,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,47.0,5286.0,77.0,8.0,227.75,0.0,1.0,0.0,0,0.183,1.37,23.2
354.0,1,2,4448,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,47.08,2953.0,14.1,13.0,2007.769231,1.0,1.0,1.0,0,0.11,1.47,15.1
1.0,1,1,186,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,35.59,1916.0,73.0,21.0,1589.857143,0.0,1.0,1.0,0,0.074,1.51,12.3
3060.0,1,0,1647,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16.91,2745.0,193.0,7.0,2728.142857,1.0,1.0,1.0,0,0.141,1.31,16.0
628.0,1,2,627,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,47.89,4276.0,117.0,12.0,1421.916667,0.0,1.0,0.0,0,0.095,1.36,19.5
507.0,1,3,7529,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,49.12,5279.0,116.0,4.0,8347.75,0.0,1.0,0.0,0,0.092,1.59,18.4
56.0,1,1,145,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,35.59,1916.0,73.0,21.0,1589.857143,0.0,1.0,1.0,0,0.074,1.51,12.3
7.0,1,2,363,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,35.01,3340.0,180.0,8.0,6840.75,1.0,1.0,0.0,0,0.081,1.42,14.5
1572.0,1,3,185,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,48.99,5023.0,92.0,5.0,5511.4,0.0,1.0,0.0,0,0.168,1.64,21.0
132.0,1,2,646,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,34.1,3058.0,31.0,23.0,847.6086957,1.0,1.0,1.0,1,0.071,1.34,8.1
7.0,1,2,7304,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,37.0,1905.0,195.0,3.0,14659.33333,1.0,1.0,0.0,0,0.052,1.76,18.4
37.0,1,1,4723,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,35.59,1916.0,73.0,21.0,1589.857143,0.0,1.0,1.0,0,0.074,1.51,12.3
472.0,1,2,96,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,47.0,5286.0,77.0,8.0,227.75,0.0,1.0,0.0,0,0.183,1.37,23.2
323.0,1,5,7642,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,35.0,2236.0,11.2,3.0,9382.333333,1.0,1.0,1.0,1,0.105,1.43,15.1
37.0,1,2,108,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,48.99,5023.0,92.0,5.0,5511.4,0.0,1.0,0.0,0,0.168,1.64,21.0
130.0,1,3,127,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,54.33,3977.0,115.0,7.0,3051.571429,0.0,1.0,0.0,0,0.097,1.82,19.3
1.0,1,1,313,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,35.01,3340.0,180.0,8.0,6840.75,1.0,1.0,0.0,0,0.081,1.42,14.5
42.0,1,3,116,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,48.99,5023.0,92.0,5.0,5511.4,0.0,1.0,0.0,0,0.168,1.64,21.0
38.0,1,2,4307,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,54.33,3977.0,115.0,7.0,3051.571429,0.0,1.0,0.0,0,0.097,1.82,19.3
1.0,1,2,235,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,47.89,4276.0,117.0,12.0,1421.916667,0.0,1.0,0.0,0,0.095,1.36,19.5
62.0,1,2,52472,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,35.01,3340.0,180.0,8.0,6840.75,1.0,1.0,0.0,0,0.081,1.42,14.5
28.0,1,1,1124,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,34.1,3058.0,31.0,23.0,847.6086957,1.0,1.0,1.0,1,0.071,1.34,8.1
210.0,1,3,177,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,48.99,5023.0,92.0,5.0,5511.4,0.0,1.0,0.0,0,0.168,1.64,21.0
881.0,1,1,243,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,39.17,2847.0,18.4,22.0,658.3636364,1.0,1.0,1.0,0,0.152,1.23,15.1
1793.0,1,1,240,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,40.31,2697.0,95.0,30.0,513.2333333,1.0,1.0,0.0,0,0.064,2.15,11.4
4.0,1,2,684,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,22.45,600.0,0.3,2.0,684.0,1.0,0.0,0.0,0,0.025,1.38,2.9
19.0,1,2,1412,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,15.65,1476.0,145.0,17.0,1290.470588,1.0,0.0,0.0,1,0.063,1.26,8.1
55.0,1,1,95,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,39.17,2847.0,18.4,22.0,658.3636364,1.0,1.0,1.0,0,0.152,1.23,15.1
